Company,Valuation,Date Joined,Industry,City,Country/Region,Continent,Year Founded,Funding,Select Investors
Company_212,$17B,07/08/21,Mobile & telecommunications,Beijing,United Kingdom,Europe,2011,$584M,"Sequoia Capital, Tiger Global, Accel"
Company_213,$49B,07/28/21,E-commerce & direct-to-consumer,Shenzhen,China,Asia,2006,$856M,"Sequoia Capital, Tiger Global, Accel"
Company_214,$2B,08/17/21,Mobile & telecommunications,Berlin,China,Europe,2018,$158M,"Sequoia Capital, Tiger Global, Accel"
Company_215,$2B,09/06/21,Artificial intelligence,Shenzhen,United Kingdom,Europe,2015,$260M,"Sequoia Capital, Tiger Global, Accel"
Company_216,$28B,09/26/21,Artificial intelligence,Berlin,China,Europe,2009,$790M,"Sequoia Capital, Tiger Global, Accel"
Company_217,$23B,10/15/21,Fintech,San Francisco,United Kingdom,Europe,2010,$305M,"Sequoia Capital, Tiger Global, Accel"
Company_218,$37B,11/04/21,Mobile & telecommunications,Shenzhen,United States,North America,1999,$111M,"Sequoia Capital, Tiger Global, Accel"
Company_219,$32B,11/24/21,"Supply chain, logistics, & delivery",San Francisco,United Kingdom,North America,2021,$589M,"Sequoia Capital, Tiger Global, Accel"
Company_220,$33B,12/14/21,E-commerce & direct-to-consumer,London,United Kingdom,Asia,2014,$375M,"Sequoia Capital, Tiger Global, Accel"
Company_221,$1B,01/03/22,Artificial intelligence,Beijing,Germany,North America,2000,$792M,"Sequoia Capital, Tiger Global, Accel"
Company_222,$19B,01/23/22,Fintech,Berlin,United Kingdom,North America,2013,$341M,"Sequoia Capital, Tiger Global, Accel"
Company_223,$2B,02/11/22,Mobile & telecommunications,Beijing,United Kingdom,Asia,2019,$315M,"Sequoia Capital, Tiger Global, Accel"
Company_224,$44B,03/03/22,E-commerce & direct-to-consumer,San Francisco,United States,North America,1999,$350M,"Sequoia Capital, Tiger Global, Accel"
Company_225,$26B,03/23/22,Mobile & telecommunications,Berlin,Germany,North America,1997,$225M,"Sequoia Capital, Tiger Global, Accel"
Company_226,$32B,04/12/22,Consumer & retail,Beijing,India,Asia,2021,$316M,"Sequoia Capital, Tiger Global, Accel"
Company_227,$6B,05/02/22,Fintech,Shenzhen,United States,Asia,1995,$405M,"Sequoia Capital, Tiger Global, Accel"
Company_228,$32B,05/22/22,E-commerce & direct-to-consumer,New York,United States,Asia,2020,$896M,"Sequoia Capital, Tiger Global, Accel"
Company_229,$4B,06/11/22,Internet software & services,San Francisco,India,Europe,2000,$284M,"Sequoia Capital, Tiger Global, Accel"
Company_230,$11B,06/30/22,Internet software & services,Beijing,United Kingdom,Europe,2009,$138M,"Sequoia Capital, Tiger Global, Accel"
Company_231,$17B,07/20/22,E-commerce & direct-to-consumer,San Francisco,China,Asia,1996,$322M,"Sequoia Capital, Tiger Global, Accel"
Company_232,$38B,08/09/22,Mobile & telecommunications,Bengaluru,Germany,Asia,1997,$283M,"Sequoia Capital, Tiger Global, Accel"
Company_233,$24B,08/29/22,Fintech,San Francisco,China,Asia,2011,$594M,"Sequoia Capital, Tiger Global, Accel"
Company_234,$5B,09/18/22,Internet software & services,Berlin,India,Europe,2019,$526M,"Sequoia Capital, Tiger Global, Accel"
Company_235,$34B,10/08/22,Fintech,Bengaluru,United States,Europe,2018,$277M,"Sequoia Capital, Tiger Global, Accel"
Company_236,$6B,10/27/22,Internet software & services,Berlin,United States,North America,2006,$527M,"Sequoia Capital, Tiger Global, Accel"
Company_237,$22B,11/16/22,Consumer & retail,New York,Germany,North America,2012,$393M,"Sequoia Capital, Tiger Global, Accel"
Company_238,$11B,12/06/22,Mobile & telecommunications,Bengaluru,United States,Asia,2009,$250M,"Sequoia Capital, Tiger Global, Accel"
Company_239,$48B,12/26/22,Consumer & retail,Shenzhen,United States,Europe,2006,$483M,"Sequoia Capital, Tiger Global, Accel"
Company_240,$16B,01/15/23,Internet software & services,San Francisco,Germany,Europe,2010,$737M,"Sequoia Capital, Tiger Global, Accel"
Company_241,$33B,02/04/23,Consumer & retail,Beijing,Germany,Europe,2021,$407M,"Sequoia Capital, Tiger Global, Accel"
Company_242,$9B,02/23/23,Internet software & services,London,India,Asia,2002,$435M,"Sequoia Capital, Tiger Global, Accel"
Company_243,$6B,03/15/23,E-commerce & direct-to-consumer,San Francisco,United States,North America,2008,$845M,"Sequoia Capital, Tiger Global, Accel"
Company_244,$16B,04/04/23,Consumer & retail,San Francisco,United States,Asia,2019,$474M,"Sequoia Capital, Tiger Global, Accel"
Company_245,$29B,04/24/23,Other,New York,India,North America,2011,$107M,"Sequoia Capital, Tiger Global, Accel"
Company_246,$3B,05/14/23,Mobile & telecommunications,Shenzhen,United Kingdom,North America,2015,$440M,"Sequoia Capital, Tiger Global, Accel"
Company_247,$20B,06/03/23,Artificial intelligence,London,United Kingdom,Asia,2002,$228M,"Sequoia Capital, Tiger Global, Accel"
Company_248,$36B,06/23/23,"Supply chain, logistics, & delivery",Bengaluru,United Kingdom,North America,2009,$875M,"Sequoia Capital, Tiger Global, Accel"
Company_249,$19B,07/12/23,Consumer & retail,Bengaluru,India,North America,2021,$768M,"Sequoia Capital, Tiger Global, Accel"
Company_250,$26B,08/01/23,Data management & analytics,Bengaluru,United States,Europe,2008,$451M,"Sequoia Capital, Tiger Global, Accel"
Company_251,$3B,08/21/23,Mobile & telecommunications,Berlin,India,North America,2012,$457M,"Sequoia Capital, Tiger Global, Accel"
Company_252,$19B,09/10/23,Other,Berlin,India,Asia,2014,$616M,"Sequoia Capital, Tiger Global, Accel"
Company_253,$20B,09/30/23,Other,Beijing,United Kingdom,Asia,2001,$594M,"Sequoia Capital, Tiger Global, Accel"
Company_254,$32B,10/20/23,Internet software & services,London,China,North America,1997,$185M,"Sequoia Capital, Tiger Global, Accel"
Company_255,$7B,11/08/23,Internet software & services,Bengaluru,United States,Europe,2006,$274M,"Sequoia Capital, Tiger Global, Accel"
Company_256,$41B,11/28/23,"Supply chain, logistics, & delivery",Berlin,United Kingdom,Europe,2015,$292M,"Sequoia Capital, Tiger Global, Accel"
Company_257,$33B,12/18/23,E-commerce & direct-to-consumer,Beijing,China,North America,2018,$410M,"Sequoia Capital, Tiger Global, Accel"
Company_258,$40B,01/07/24,Data management & analytics,Shenzhen,China,North America,2020,$218M,"Sequoia Capital, Tiger Global, Accel"
Company_259,$39B,01/27/24,Artificial intelligence,Beijing,Germany,Asia,1997,$317M,"Sequoia Capital, Tiger Global, Accel"
Company_260,$18B,02/16/24,"Supply chain, logistics, & delivery",Berlin,United States,North America,2014,$526M,"Sequoia Capital, Tiger Global, Accel"
Company_261,$40B,03/06/24,Fintech,New York,China,Europe,2008,$513M,"Sequoia Capital, Tiger Global, Accel"
Company_262,$1B,03/26/24,Artificial intelligence,New York,United Kingdom,North America,2009,$213M,"Sequoia Capital, Tiger Global, Accel"
Company_263,$11B,04/15/24,Consumer & retail,Bengaluru,Germany,Asia,2019,$244M,"Sequoia Capital, Tiger Global, Accel"
Company_264,$28B,05/05/24,Mobile & telecommunications,New York,United States,Asia,2008,$637M,"Sequoia Capital, Tiger Global, Accel"
Company_265,$25B,05/25/24,Fintech,Bengaluru,India,Asia,2001,$747M,"Sequoia Capital, Tiger Global, Accel"
Company_266,$23B,06/14/24,Fintech,Bengaluru,United Kingdom,Asia,2011,$402M,"Sequoia Capital, Tiger Global, Accel"
Company_267,$31B,07/04/24,"Supply chain, logistics, & delivery",Berlin,China,Asia,2006,$843M,"Sequoia Capital, Tiger Global, Accel"
Company_268,$30B,07/23/24,E-commerce & direct-to-consumer,New York,China,North America,2014,$687M,"Sequoia Capital, Tiger Global, Accel"
Company_269,$42B,08/12/24,"Supply chain, logistics, & delivery",Bengaluru,United Kingdom,North America,1998,$444M,"Sequoia Capital, Tiger Global, Accel"
Company_270,$35B,09/01/24,Consumer & retail,London,China,North America,2003,$100M,"Sequoia Capital, Tiger Global, Accel"
Company_271,$7B,09/21/24,E-commerce & direct-to-consumer,Shenzhen,Germany,North America,2000,$246M,"Sequoia Capital, Tiger Global, Accel"
Company_272,$16B,10/11/24,Consumer & retail,Beijing,United States,Asia,2010,$386M,"Sequoia Capital, Tiger Global, Accel"
Company_273,$26B,10/31/24,E-commerce & direct-to-consumer,Beijing,Germany,Europe,2019,$753M,"Sequoia Capital, Tiger Global, Accel"
Company_274,$48B,11/19/24,Other,Berlin,China,North America,2016,$152M,"Sequoia Capital, Tiger Global, Accel"
Company_275,$49B,12/09/24,Fintech,New York,India,Europe,2016,$403M,"Sequoia Capital, Tiger Global, Accel"
Company_276,$2B,12/29/24,Data management & analytics,New York,United States,North America,2015,$168M,"Sequoia Capital, Tiger Global, Accel"
Company_277,$1B,01/18/25,Mobile & telecommunications,Bengaluru,United States,North America,2015,$460M,"Sequoia Capital, Tiger Global, Accel"
Company_278,$48B,02/07/25,Consumer & retail,San Francisco,United Kingdom,Europe,1996,$701M,"Sequoia Capital, Tiger Global, Accel"
Company_279,$12B,02/27/25,Artificial intelligence,Bengaluru,United Kingdom,Asia,2018,$319M,"Sequoia Capital, Tiger Global, Accel"
Company_280,$5B,03/18/25,E-commerce & direct-to-consumer,Shenzhen,India,North America,2002,$803M,"Sequoia Capital, Tiger Global, Accel"
Company_281,$37B,04/07/25,Mobile & telecommunications,London,United States,North America,2005,$674M,"Sequoia Capital, Tiger Global, Accel"
Company_282,$32B,04/27/25,Artificial intelligence,Beijing,India,North America,2007,$684M,"Sequoia Capital, Tiger Global, Accel"
Company_283,$9B,05/17/25,Mobile & telecommunications,Bengaluru,United Kingdom,Europe,2011,$260M,"Sequoia Capital, Tiger Global, Accel"
Company_284,$41B,06/06/25,Data management & analytics,San Francisco,United Kingdom,Asia,2002,$780M,"Sequoia Capital, Tiger Global, Accel"
Company_285,$35B,06/26/25,Artificial intelligence,San Francisco,United States,Europe,2015,$188M,"Sequoia Capital, Tiger Global, Accel"
Company_286,$19B,07/16/25,"Supply chain, logistics, & delivery",Bengaluru,Germany,Europe,2012,$787M,"Sequoia Capital, Tiger Global, Accel"
Company_287,$48B,08/04/25,Internet software & services,Berlin,China,Asia,2012,$880M,"Sequoia Capital, Tiger Global, Accel"
Company_288,$16B,08/24/25,"Supply chain, logistics, & delivery",Beijing,United Kingdom,Europe,2008,$684M,"Sequoia Capital, Tiger Global, Accel"
Company_289,$3B,09/13/25,Internet software & services,Berlin,United Kingdom,Asia,2009,$856M,"Sequoia Capital, Tiger Global, Accel"
Company_290,$20B,10/03/25,"Supply chain, logistics, & delivery",London,Germany,North America,2000,$688M,"Sequoia Capital, Tiger Global, Accel"
Company_291,$24B,10/23/25,Internet software & services,San Francisco,Germany,Asia,2005,$258M,"Sequoia Capital, Tiger Global, Accel"
Company_292,$33B,11/12/25,Internet software & services,San Francisco,India,North America,2007,$588M,"Sequoia Capital, Tiger Global, Accel"
Company_293,$24B,12/01/25,Fintech,Shenzhen,India,Europe,2019,$423M,"Sequoia Capital, Tiger Global, Accel"
Company_294,$11B,12/21/25,E-commerce & direct-to-consumer,London,China,Europe,1995,$709M,"Sequoia Capital, Tiger Global, Accel"
Company_295,$49B,01/10/26,E-commerce & direct-to-consumer,San Francisco,China,North America,2000,$480M,"Sequoia Capital, Tiger Global, Accel"
Company_296,$8B,01/30/26,Fintech,London,United States,Europe,2003,$201M,"Sequoia Capital, Tiger Global, Accel"
Company_297,$36B,02/19/26,Mobile & telecommunications,Beijing,India,Asia,2002,$593M,"Sequoia Capital, Tiger Global, Accel"
Company_298,$38B,03/11/26,Other,New York,United Kingdom,North America,2005,$743M,"Sequoia Capital, Tiger Global, Accel"
Company_299,$40B,03/31/26,Mobile & telecommunications,San Francisco,India,Europe,2016,$713M,"Sequoia Capital, Tiger Global, Accel"
